true_class,0,1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9
0,125,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,127,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0
10,0,0,108,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,0,0,0,89,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,2,0,0,89,2,0,0,1,5,0,0,0,0,1,0,2,0,2,0
13,0,1,0,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,80,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,0,0,88,0,1,0,0,0,0,1,2,0,0,0,0
16,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,2,0,0,1,0,103,0,1,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,73,0,0,0,1,0,0,0,0,0
19,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0
2,0,3,0,0,0,0,0,1,0,0,0,0,157,0,0,1,0,1,0,0
3,0,0,0,0,0,2,0,0,0,0,0,0,0,207,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,140,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0
8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,123,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,87
