label,precision,recall,f1-score,support,accuracy
0,0.9689922480620154,0.9765625,0.9727626459143969,128.0,
1,0.9477611940298507,0.927007299270073,0.9372693726937269,137.0,
10,0.9908256880733946,0.9818181818181818,0.9863013698630136,110.0,
11,0.9888888888888889,0.978021978021978,0.9834254143646409,91.0,
12,0.956989247311828,0.8557692307692307,0.9035532994923858,104.0,
13,0.9239130434782609,0.9659090909090909,0.9444444444444444,88.0,
14,0.9876543209876543,0.975609756097561,0.9815950920245399,82.0,
15,0.9777777777777777,0.9565217391304348,0.967032967032967,92.0,
16,0.95,1.0,0.9743589743589743,38.0,
17,0.8956521739130435,0.944954128440367,0.9196428571428571,109.0,
18,1.0,0.9864864864864865,0.9931972789115646,74.0,
19,0.989010989010989,0.989010989010989,0.989010989010989,91.0,
2,0.9573170731707317,0.9631901840490797,0.9602446483180428,163.0,
3,0.9951923076923077,0.9904306220095693,0.9928057553956835,209.0,
4,0.9626865671641791,0.9847328244274809,0.9735849056603774,131.0,
5,0.9722222222222222,0.9859154929577465,0.9790209790209791,142.0,
6,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0,
7,0.9649122807017544,0.9649122807017544,0.9649122807017544,57.0,
8,0.984,0.984,0.984,125.0,
9,0.9886363636363636,0.9775280898876404,0.9830508474576272,89.0,
accuracy,,,,,0.9683573755234993
macro avg,0.9679477062625848,0.9688572459465743,0.9681294906208351,2149.0,
weighted avg,0.9686733245813876,0.9683573755234993,0.96827176644815,2149.0,
