epoch,accuracy,loss,val_accuracy,val_loss
1,0.08023267239332199,3.373882293701172,0.059869036078453064,3.709784507751465
2,0.16588105261325836,2.771207571029663,0.2277829796075821,2.609445571899414
3,0.29234781861305237,2.344451904296875,0.27455565333366394,2.7859394550323486
4,0.37428542971611023,2.109995126724243,0.24742750823497772,3.031616687774658
5,0.4420820474624634,1.9297453165054321,0.2829747498035431,2.8819830417633057
6,0.4971417188644409,1.7743980884552002,0.40879327058792114,2.2715871334075928
7,0.5386621356010437,1.6557865142822266,0.2722170352935791,3.6824464797973633
8,0.5795807838439941,1.5452722311019897,0.21141253411769867,4.512774467468262
9,0.6052552461624146,1.482132911682129,0.2488306760787964,3.4395155906677246
10,0.6248119473457336,1.4223915338516235,0.1931711882352829,4.289992332458496
11,0.6564035415649414,1.3490351438522339,0.3381665050983429,2.6473989486694336
12,0.6691405177116394,1.3096177577972412,0.5495790243148804,1.6803326606750488
13,0.6925082802772522,1.254669189453125,0.3854069113731384,2.4210994243621826
14,0.7053455114364624,1.215538501739502,0.2623947560787201,3.6989898681640625
15,0.7205896973609924,1.1876369714736938,0.29186156392097473,3.2676384449005127
16,0.7306187748908997,1.151228666305542,0.5388213396072388,1.9665148258209229
17,0.7429545521736145,1.127190113067627,0.5332086086273193,1.7252132892608643
18,0.7620097994804382,1.081160306930542,0.621141254901886,1.4771736860275269
19,0.7583993673324585,1.076256513595581,0.3821328282356262,2.4734697341918945
20,0.779961884021759,1.0401426553726196,0.536014974117279,1.698028564453125
21,0.7862802147865295,1.008481740951538,0.5018709301948547,2.005688428878784
22,0.7929996848106384,1.000909686088562,0.41253507137298584,2.3527190685272217
23,0.8076421618461609,0.9639207720756531,0.6613657474517822,1.3242961168289185
24,0.8180724382400513,0.9444321393966675,0.5514499545097351,1.7941105365753174
25,0.8236886858940125,0.9253347516059875,0.6959775686264038,1.2540086507797241
26,0.8250927925109863,0.9155164957046509,0.5261927247047424,2.0396759510040283
27,0.8362250328063965,0.8967356085777283,0.8040224313735962,0.9601267576217651
28,0.8389329314231873,0.8874964714050293,0.699251651763916,1.260133147239685
29,0.8506669402122498,0.8605108261108398,0.7259120941162109,1.2423101663589478
30,0.8521713018417358,0.8551772832870483,0.7081384658813477,1.257727861404419
31,0.8547788858413696,0.8510960936546326,0.6328344345092773,1.459227204322815
32,0.8633036017417908,0.8228835463523865,0.7778297662734985,1.0736534595489502
33,0.8653094172477722,0.8160731792449951,0.6412535309791565,1.5200191736221313
34,0.8697221875190735,0.8058478236198425,0.48830682039260864,2.0720479488372803
35,0.8794503808021545,0.7901015281677246,0.636576235294342,1.5140395164489746
36,0.8780463337898254,0.7867856621742249,0.6099157929420471,1.6323093175888062
37,0.8839634656906128,0.7737849354743958,0.7282506823539734,1.1679149866104126
38,0.8908835649490356,0.7707570195198059,0.7160897850990295,1.2536264657974243
39,0.8893792033195496,0.76611328125,0.8811973929405212,0.8089261651039124
40,0.8957977890968323,0.7493359446525574,0.8737137317657471,0.8100299835205078
41,0.8992077112197876,0.741972029209137,0.7829747200012207,1.068506121635437
42,0.906629204750061,0.7253668904304504,0.44293731451034546,2.361834764480591
43,0.9044228196144104,0.7260167002677917,0.7815715670585632,1.0274279117584229
44,0.912245512008667,0.7099530696868896,0.6936389207839966,1.3512463569641113
45,0.9141510128974915,0.7082406878471375,0.7492983937263489,1.1417131423950195
46,0.917761504650116,0.6997442245483398,0.762862503528595,1.136474609375
