variant,description,epochs_completed,parameter_count,parameter_reduction_pct,test_accuracy,delta_test_accuracy,delta_images,weighted_f1,delta_weighted_f1,macro_f1,test_loss,best_val_accuracy,best_val_accuracy_epoch,accuracy_per_Mparam,elapsed_seconds,config_hash,is_baseline,within_noise,verdict
full_model,All components enabled (baseline reference row),300,2967228,0.0,0.9595160539785947,0.0,0,0.9597232805678381,0.0,0.9584877484847866,0.5746817588806152,0.9672591090202332,269,32.33711915560903,18549.051014303,bae6433e95521605,True,True,baseline
without_texture_attention,All texture_attention_module blocks replaced by identity,300,2917254,1.6841981809284625,0.959050721265705,-0.0004653327128897322,-1,0.9590713165712826,-0.0006519639965554269,0.9588310592193332,0.5816776752471924,0.9658559560775757,234,32.875118905165785,18929.157138034996,531c5a4949880a1c,False,True,no detectable effect
without_color_module,color_aware_module branch and both fusion points removed,300,2738334,7.714068484120533,0.9618427175430433,0.00232666356444855,5,0.9619074536503374,0.0021841730824992966,0.9635472830082856,0.6042193174362183,0.9686623215675354,231,35.12510590538054,16628.886863641,25bd0314c837ef6f,False,True,no detectable effect
without_bark_pattern_convs,Dilated/anisotropic bark-pattern branches removed from every inception module,300,1436004,51.60452786236851,0.9627733829688228,0.0032573289902280145,7,0.9625446058439366,0.002821325276098574,0.9634904216680882,0.5814728140830994,0.9686623215675354,222,67.04531345099475,16791.748088692002,51de75e284db0e99,False,True,no detectable effect
without_mixup_cutmix,MixUp/CutMix disabled (plain augmented training data),300,2967228,0.0,0.9683573755234993,0.008841321544904579,19,0.96827176644815,0.008548485880311985,0.9681294906208351,0.48422640562057495,0.9686623215675354,238,32.63508485102928,15827.682494028,1f7e0e9a6456cdcc,False,False,apparent GAIN - verify with seeds
without_dual_pooling,Head uses GlobalAveragePooling only (GlobalMaxPooling branch removed),300,2819772,4.9694866724094,0.9678920428106096,0.008375988832014847,18,0.9679032925905976,0.00818001202275953,0.9684153766410525,0.5578056573867798,0.9695977568626404,264,34.32518809359798,17280.331440321002,3a9f5fce66b4c41f,False,False,apparent GAIN - verify with seeds
