variant,source_dir,description,status,config_hash,started_utc,completed_utc,elapsed_seconds,epochs_completed,parameter_count,trainable_parameter_count,best_train_loss,best_train_accuracy,best_val_loss,best_val_accuracy,best_val_accuracy_epoch,planned_epochs,ran_full_schedule,stopped_on_time_budget,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1,num_test_samples
full_model,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-1,All components enabled (baseline reference row),completed,bae6433e95521605,2026-08-11T18:09:59.129505+00:00,2026-08-11T23:19:40.779687+00:00,18549.051014303,300,2967228,2957956,0.8396209478378296,0.9464446902275085,0.5650594830513,0.9672591090202332,269,300,True,False,0.5746817588806152,0.9595160539785947,0.9614702893043511,0.9595160539785947,0.9597232805678381,0.9584313453589051,0.9607192544741986,0.9584877484847866,2149
without_texture_attention,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-1,All texture_attention_module blocks replaced by identity,completed,531c5a4949880a1c,2026-08-11T23:19:44.850071+00:00,2026-08-12T04:35:37.093653+00:00,18929.157138034996,300,2917254,2907982,0.8392130136489868,0.9421321749687195,0.5699713230133057,0.9658559560775757,234,300,True,False,0.5816776752471924,0.959050721265705,0.9603544985573661,0.959050721265705,0.9590713165712826,0.9589093639157305,0.960151058488304,0.9588310592193332,2149
without_color_module,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-2,color_aware_module branch and both fusion points removed,completed,25bd0314c837ef6f,2026-08-11T18:10:53.951233+00:00,2026-08-11T22:48:27.412818+00:00,16628.886863641,300,2738334,2729254,0.8653502464294434,0.9436365365982056,0.5872070789337158,0.9686623215675354,231,300,True,False,0.6042193174362183,0.9618427175430433,0.9635834970900242,0.9618427175430433,0.9619074536503374,0.9648357809036321,0.9638714962593664,0.9635472830082856,2149
without_bark_pattern_convs,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-2,Dilated/anisotropic bark-pattern branches removed from every inception module,completed,51de75e284db0e99,2026-08-11T22:48:30.703994+00:00,2026-08-12T03:28:43.737368+00:00,16791.748088692002,300,1436004,1428892,0.8930264711380005,0.9356132745742798,0.566329836845398,0.9686623215675354,222,300,True,False,0.5814728140830994,0.9627733829688228,0.9638759192684508,0.9627733829688228,0.9625446058439366,0.9660076892522158,0.9625481134064067,0.9634904216680882,2149
without_mixup_cutmix,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-3,MixUp/CutMix disabled (plain augmented training data),completed,1f7e0e9a6456cdcc,2026-08-11T18:10:26.483031+00:00,2026-08-11T22:34:42.621804+00:00,15827.682494028,300,2967228,2957956,0.3764295279979706,1.0,0.4681898057460785,0.9686623215675354,238,300,True,False,0.48422640562057495,0.9683573755234993,0.9686733245813876,0.9683573755234993,0.96827176644815,0.9679477062625848,0.9688572459465743,0.9681294906208351,2149
without_dual_pooling,/kaggle/input/datasets/aroshiali/bark-dataset/ablation-3,Head uses GlobalAveragePooling only (GlobalMaxPooling branch removed),completed,3a9f5fce66b4c41f,2026-08-11T22:34:46.587857+00:00,2026-08-12T03:23:13.040547+00:00,17280.331440321002,300,2819772,2810500,0.8531453013420105,0.9394243359565735,0.5591015815734863,0.9695977568626404,264,300,True,False,0.5578056573867798,0.9678920428106096,0.9686783176740028,0.9678920428106096,0.9679032925905976,0.9689166209762075,0.9687680446014314,0.9684153766410525,2149
