true_class,0,1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9
0,125,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,125,0,0,0,0,0,2,0,2,0,0,5,0,0,1,0,0,0,0
10,1,0,107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,0,0,0,87,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
12,3,6,0,0,90,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
13,0,3,0,0,0,81,0,0,1,1,0,0,0,2,0,0,0,0,0,0
14,0,0,0,0,1,0,80,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,1,0,1,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,2,0,106,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0
2,1,5,0,0,0,0,0,0,0,0,0,0,156,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,128,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,140,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0
8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,122,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88
