label,precision,recall,f1-score,support,accuracy
0,0.9398496240601504,0.9765625,0.9578544061302682,128.0,
1,0.8865248226950354,0.9124087591240876,0.8992805755395683,137.0,
10,1.0,0.9727272727272728,0.9861751152073732,110.0,
11,0.9775280898876404,0.9560439560439561,0.9666666666666667,91.0,
12,0.989010989010989,0.8653846153846154,0.9230769230769231,104.0,
13,0.9529411764705882,0.9204545454545454,0.9364161849710982,88.0,
14,0.975609756097561,0.975609756097561,0.975609756097561,82.0,
15,0.956989247311828,0.967391304347826,0.9621621621621622,92.0,
16,0.926829268292683,1.0,0.9620253164556962,38.0,
17,0.905982905982906,0.9724770642201835,0.9380530973451328,109.0,
18,1.0,1.0,1.0,74.0,
19,1.0,0.989010989010989,0.994475138121547,91.0,
2,0.9454545454545454,0.9570552147239264,0.9512195121951219,163.0,
3,0.9858490566037735,1.0,0.9928741092636579,209.0,
4,1.0,0.9770992366412213,0.9884169884169884,131.0,
5,0.9859154929577465,0.9859154929577465,0.9859154929577465,142.0,
6,0.967391304347826,1.0,0.9834254143646409,89.0,
7,0.9824561403508771,0.9824561403508771,0.9824561403508771,57.0,
8,1.0,0.976,0.9878542510121457,125.0,
9,1.0,0.9887640449438202,0.9943502824858758,89.0,
accuracy,,,,,0.9678920428106096
macro avg,0.9689166209762075,0.9687680446014314,0.9684153766410525,2149.0,
weighted avg,0.9686783176740028,0.9678920428106096,0.9679032925905976,2149.0,
