label,precision,recall,f1-score,support,accuracy
0,0.9615384615384616,0.9765625,0.9689922480620154,128.0,
1,0.8581081081081081,0.927007299270073,0.8912280701754386,137.0,
10,0.963963963963964,0.9727272727272728,0.9683257918552036,110.0,
11,0.956989247311828,0.978021978021978,0.967391304347826,91.0,
12,0.9659090909090909,0.8173076923076923,0.8854166666666666,104.0,
13,0.9032258064516129,0.9545454545454546,0.9281767955801105,88.0,
14,0.975,0.9512195121951219,0.9629629629629629,82.0,
15,0.9886363636363636,0.9456521739130435,0.9666666666666667,92.0,
16,0.9047619047619048,1.0,0.95,38.0,
17,0.8974358974358975,0.963302752293578,0.9292035398230089,109.0,
18,1.0,0.9864864864864865,0.9931972789115646,74.0,
19,0.978021978021978,0.978021978021978,0.978021978021978,91.0,
2,0.9743589743589743,0.9325153374233128,0.9529780564263323,163.0,
3,0.9808612440191388,0.9808612440191388,0.9808612440191388,209.0,
4,0.9624060150375939,0.9770992366412213,0.9696969696969697,131.0,
5,0.986013986013986,0.9929577464788732,0.9894736842105263,142.0,
6,0.9560439560439561,0.9775280898876404,0.9666666666666667,89.0,
7,0.9649122807017544,0.9649122807017544,0.9649122807017544,57.0,
8,1.0,0.96,0.9795918367346939,125.0,
9,1.0,0.9662921348314607,0.9828571428571429,89.0,
accuracy,,,,,0.959050721265705
macro avg,0.9589093639157305,0.960151058488304,0.9588310592193332,2149.0,
weighted avg,0.9603544985573661,0.959050721265705,0.9590713165712826,2149.0,
