true_class,0,1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9
0,125,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3,127,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0
10,1,0,107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
11,0,0,0,89,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,6,0,1,85,4,1,0,3,1,0,0,1,0,0,0,1,0,0,0
13,0,1,0,1,0,84,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,0,0,1,0,0,0,78,0,0,1,0,0,0,0,0,0,2,0,0,0
15,0,1,0,0,0,0,0,87,0,2,0,0,1,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,1,0,0,1,0,105,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,73,0,0,0,1,0,0,0,0,0
19,0,0,0,0,0,0,1,0,0,0,0,89,0,0,0,0,0,1,0,0
2,0,10,0,0,0,0,0,0,0,0,0,0,152,0,0,1,0,0,0,0
3,0,0,0,0,0,3,0,0,0,0,0,0,0,205,1,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,128,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,141,0,0,0,0
6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0
8,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,120,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,86
