true_class,0,1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9
0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,124,0,0,0,1,0,0,0,1,0,0,8,0,0,1,0,0,0,0
10,0,0,107,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11,0,0,1,87,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,3,5,1,0,83,4,0,0,0,6,0,0,0,1,0,0,0,0,0,1
13,0,1,0,1,0,83,0,0,1,1,0,0,1,0,0,0,0,0,0,0
14,0,0,1,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,2,0,105,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,0
2,0,4,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1,207,1,0,0,0,0,0
4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140,0,0,0,0
6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,54,0,0
8,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,121,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,84
