epoch,accuracy,loss,val_accuracy,val_loss
0,0.06137799471616745,3.4567832946777344,0.059869036078453064,3.2149620056152344
1,0.08735332638025284,3.044300079345703,0.09822263568639755,2.8896284103393555
2,0.12987664341926575,2.8641579151153564,0.14405986666679382,2.7595508098602295
3,0.19677063822746277,2.707383155822754,0.23526661098003387,2.585536479949951
4,0.2624611258506775,2.549394130706787,0.3302151560783386,2.3073270320892334
5,0.3319627046585083,2.396637439727783,0.3077642619609833,2.2937991619110107
6,0.36997291445732117,2.3079299926757812,0.23947614431381226,2.9668936729431152
7,0.39725202322006226,2.2464160919189453,0.4420018792152405,1.9751029014587402
8,0.4201183319091797,2.1903529167175293,0.1824134737253189,3.5003066062927246
9,0.4379701018333435,2.1452136039733887,0.22170253098011017,3.3734800815582275
10,0.4667535722255707,2.0914454460144043,0.189429372549057,4.570345878601074
11,0.47598034143447876,2.0616486072540283,0.3269410729408264,2.4654664993286133
12,0.49012136459350586,2.018562078475952,0.47100093960762024,1.9842660427093506
13,0.5118844509124756,1.981103777885437,0.28110384941101074,2.9017765522003174
14,0.5296359658241272,1.9438592195510864,0.347521036863327,2.469841241836548
15,0.5341490507125854,1.9264256954193115,0.5271281599998474,1.6874001026153564
16,0.5512987375259399,1.8953648805618286,0.2764265537261963,2.9592227935791016
17,0.5673453211784363,1.858974814414978,0.31571561098098755,2.7037389278411865
18,0.5750676989555359,1.8431140184402466,0.31524789333343506,2.8662221431732178
19,0.5859993696212769,1.8098548650741577,0.48456501960754395,1.8035407066345215
20,0.5966302156448364,1.7826192378997803,0.1898971050977707,3.5967109203338623
21,0.6187945008277893,1.767674446105957,0.5444340705871582,1.6646733283996582
22,0.6129776239395142,1.7484066486358643,0.42329278588294983,2.150897741317749
23,0.6231070160865784,1.7385345697402954,0.48456501960754395,1.920091986656189
24,0.6362451314926147,1.7147986888885498,0.46772685647010803,1.9829533100128174
25,0.6355430483818054,1.697941780090332,0.3657623827457428,2.880357503890991
26,0.6418613791465759,1.6935983896255493,0.5247895121574402,1.7620055675506592
27,0.6520910859107971,1.6700150966644287,0.5392890572547913,1.6935255527496338
28,0.6572058796882629,1.652733325958252,0.6959775686264038,1.2482030391693115
29,0.6596128940582275,1.6527190208435059,0.5238540768623352,1.6892759799957275
30,0.6782670021057129,1.6097919940948486,0.5701590180397034,1.5713952779769897
31,0.6756594181060791,1.610985279083252,0.48409730195999146,1.9869732856750488
32,0.6908033490180969,1.5932070016860962,0.5930776596069336,1.5493448972702026
