label,precision,recall,f1-score,support,accuracy
0,0.9477611940298507,0.9921875,0.9694656488549618,128.0,
1,0.9051094890510949,0.9051094890510949,0.9051094890510949,137.0,
10,0.9553571428571429,0.9727272727272728,0.963963963963964,110.0,
11,0.9666666666666667,0.9560439560439561,0.9613259668508287,91.0,
12,1.0,0.7980769230769231,0.8877005347593583,104.0,
13,0.9222222222222223,0.9431818181818182,0.9325842696629213,88.0,
14,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0,
15,0.978494623655914,0.9891304347826086,0.9837837837837838,92.0,
16,0.9743589743589743,1.0,0.987012987012987,38.0,
17,0.8823529411764706,0.963302752293578,0.9210526315789473,109.0,
18,1.0,1.0,1.0,74.0,
19,1.0,0.989010989010989,0.994475138121547,91.0,
2,0.9298245614035088,0.9754601226993865,0.9520958083832335,163.0,
3,0.981042654028436,0.9904306220095693,0.9857142857142858,209.0,
4,0.9552238805970149,0.9770992366412213,0.9660377358490566,131.0,
5,0.9929078014184397,0.9859154929577465,0.9893992932862191,142.0,
6,0.9885057471264368,0.9662921348314607,0.9772727272727273,89.0,
7,0.9642857142857143,0.9473684210526315,0.9557522123893806,57.0,
8,1.0,0.968,0.983739837398374,125.0,
9,0.9882352941176471,0.9438202247191011,0.9655172413793104,89.0,
accuracy,,,,,0.9627733829688228
macro avg,0.9660076892522158,0.9625481134064067,0.9634904216680882,2149.0,
weighted avg,0.9638759192684508,0.9627733829688228,0.9625446058439366,2149.0,
